,�..Serial.No,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment,Theme,Flavor,sub.theme,After Effect,Cooking time,Flavor/Taste,Nutrition,Packaging,Price,Texture,Max,match,Predicted Theme,set,,,
11,11,9705,B001LXYA5Q,XXX,XXX,0,0,4,1343606400,"It works, but not as expected.","As other reviewers have pointed out, the effects vary from person to person. Each tablet seemed to last up to a half hour (longer for my sister)and while it did make things noticeably sweeter, the initial taste of something was identical, and it slowly got sweeter after the first half a second. Oh, and sour/bitter drinks like Monster took on a sickly sweet syrupy flavor that may leave you feeling a bit ill after. Don't try Apple cider vinegar, it tastes fine if a bit odd on your tongue, but as soon as it hits your throat the flavor and fumes were overpoweringly awful.",Negative,,,After Effect,0.224947046,0.056358108,0.163039665,0.127206721,0.076220902,0.071375467,0.110173118,0.224947046,1,After Effect,Train,,,
12,12,9831,B001EQ5CK2,XXX,XXX,0,0,4,1265932800,Good Coffee!,"This is my second batch of coffee from Jeremiah's Pick. This is good coffee but not as good as their Foglifter. However, it you like a mild yet tasteful coffee, you will like this. I prefer a bit stronger brew though hence my preference for the Foglifter.",Positive,,Coffee,After Effect,0.330658192,0.108597209,0.168568568,0.119141113,0.084245543,0.154901067,0.154794204,0.330658192,1,After Effect,Train,,,
13,13,11784,B0012KB4WU,XXX,XXX,0,0,5,1255651200,Yummy for kitty's tummy!,"This is one of the few cat foods my fussy cat will eat.  He loves the gravy especially.  Wish they would sell that on it's own!  And amazon's subscribe and save is the best price I can find, and so convenient too!",Positive,,,After Effect,0.26786515,0.067447777,0.143559127,0.127205104,0.101969308,0.22133975,0.077149102,0.26786515,1,After Effect,Train,,,
14,14,13107,B002TMV34E,XXX,XXX,2,4,5,1264896000,Coffee Lover,"I have tried many brands of coffee and I always come back to Melitta.  This coffee is the best they have made....not too dark, not too light...simply perfect!",Positive,,Coffee,After Effect,0.359242386,0.134259715,0.191732369,0.081032574,0.117158349,0.107584493,0.126711644,0.359242386,1,After Effect,Train,,,
15,15,14052,B0045XE32E,XXX,XXX,1,2,3,1298505600,Good for larger dogs; not so much for small ones,"Let's face facts, dogs will pretty much eat anything that you put in front of them - they really are not that choosy.  They drink dirty garden water, smell each other privates, and occasionally snack on cat turds, so trying to determine if a treat tastes good really is not that easy.<br /><br />Having said that, my two medium size dogs (roughly 30 pounds each) absolutely love these treats. I like the fact that they don't have that smelly dog treat scent that most have (they smell more like people food - kind of like a ginger snap), and because they are harder and larger than my normal treats, the dogs must crunch them, promoting tooth cleanliness. But if you have a smaller dog (I also have a Yorkie), these treats are just way too large.<br /><br />They are about two inches long and one inch wide (with a perforation in the middle). They contain organic ingrediants including carrots, apples and molasses, rather than fillers like corn meal.  They are relatively easy to break at the perforation - but really hard to break down further (though a hammer works well).  My Yorkie looked down at the treat then looked up at me with an expression of ""you gotta be kidding me"" and stared at me until I gave him one of his regular treats.<br /><br />The only drawback is that unless they are purchased in bulk, they are a bit expensive, so I would not use them as a training treat. But for the occasional atta boy treat - my older boys love them.",Negative,,,After Effect,0.223650223,0.14047004,0.21810857,0.285223733,0.105449803,0.220534314,0.164354136,0.285223733,4,Nutrition,Train,,,
16,16,14493,B000CMD63E,XXX,XXX,6,6,5,1190246400,Stomach problem natural solution,I have had alot of stomach problems over many years and this is an excellent tea for settling my stomach quickly. It also works great if you have overeaten and feel uncomfortable - so good I buy it by the case!,Positive,,,After Effect,0.264655428,0.087212405,0.098784563,0.094891662,0.070400271,0.086134131,0.079418575,0.264655428,1,After Effect,Train,,,
17,17,14619,B0032BXUJM,XXX,XXX,1,1,4,1316995200,"Strong, but slightly acidic","Arrived on time.  The flavor comes through, which is important when using a K-cup.  It is bold, and sometimes slighly acidic.  It doesn't taste as smooth as the Newman's Bold.",Positive,,,After Effect,0.359877186,0.034606073,0.090506611,0.07109414,0.053619877,0.044318928,0.112049054,0.359877186,1,After Effect,Train,,,
18,18,14745,B0074K0ZA4,XXX,XXX,0,0,5,1350000000,I love This Cat Food!,"I was so happy to find this food on Amazon.com. I love this food for my cat. It keeps his teeth fresh and makes his breath smell better. It's a little pricey but well worth the price because I find that it's healthy for my cat, meaning he likes it and I don't have to get scratched up trying to brush his teeth, OUCH!",Positive,,,After Effect,0.243938077,0.109920518,0.147203811,0.17448519,0.102809318,0.155799153,0.115325872,0.243938077,1,After Effect,Train,,,
19,19,14808,B001I8BNMC,XXX,XXX,0,0,5,1323302400,lov this coffee,"I love this coffee.  I have used Folgers Coffee for many years but this one ""Black Silk"" is the best yet.",Positive,,,After Effect,0.414270099,0.125459267,0.209371824,0.095182069,0.114711557,0.120461645,0.137183597,0.414270099,1,After Effect,Train,,,
20,20,15753,B007TJGZ5E,XXX,XXX,0,0,5,1315699200,Great taste!,"Very tasty product, this is a wonderful coffee anytime day or night. Smooth flavor, medium strength, goes great with hazelnut liquid creamer, or any other for that matter.",Positive,,Coffee,After Effect,0.332944779,0.058919822,0.139446488,0.068068211,0.107994063,0.065753023,0.126143992,0.332944779,1,After Effect,Train,,,
21,21,16320,B007TJGZ54,XXX,XXX,66,66,5,1277510400,"Not too weak, not too strong, it's juuuuuust right","I found these first at my local supermarket.  I've been looking for a blend that I could use as my standard every-day cup of coffee and, finally, this was it.  I've tried so many of the other blends and brands and they were either harsh and bitter (I know, some people think coffee *should* taste that way!) or too bland and weak. This is smooth but with a nice ""coffee"" presence you can actually taste.  *Coffee* taste, not burned grounds!<br /><br />I highly recommend this if you're *not* into the ""make your hair stand on end"" type of coffee. This review is based on using the ""medium"" size on the coffee machine.  You may get different results if you use the small or large dispenser sizes.",Positive,,,After Effect,0.402200054,0.198885881,0.308229031,0.18013028,0.191486484,0.168511467,0.201741468,0.402200054,1,After Effect,Train,,,
22,22,16446,B007TJGZ54,XXX,XXX,0,0,3,1350086400,not to crazy,"Love green mountain coffee, but the breakfast blend was not strong or bold enough for me, will try stronger and bolder ones and get back to you all with another review, thanks",Negative,,Coffee,After Effect,0.355134211,0.093265693,0.209688932,0.089087669,0.11243471,0.114732311,0.142569156,0.355134211,1,After Effect,Train,,,
23,23,17265,B00312M854,XXX,XXX,2,3,5,1310947200,My dog loves it.,"Honestly, it's good food. My dog eats 1/4 of a can with each meal (mixed with kibble) and he loves it. He's a 3-year-old male Ridgeback, and he looks great. He's healthy, has a nice coat, and eats well.",Positive,,,After Effect,0.247561098,0.099606649,0.151366222,0.201811426,0.105451392,0.13036648,0.186100427,0.247561098,1,After Effect,Train,,,
24,24,17454,B0045Z6K50,XXX,XXX,0,0,5,1304380800,Still the best!,"When I first got my K-cup machine a couple years ago I ordered virtually every coffee/tea cup brand except for the inane.  The Newman extra bold is the best ""every day"" coffee IMO.  There are others of course!  So order the Newman extra bold,  the Emeril big easy bold, and the sleepy time tea and you have the bases covered.  At least for my family, yer mileage will surely vary.",Positive,,,After Effect,0.391506307,0.144135634,0.141886271,0.119110165,0.083547742,0.110218568,0.119962431,0.391506307,1,After Effect,Train,,,
25,25,18273,B000SATIGO,XXX,XXX,2,2,4,1288051200,From Tetley's to Assam Banaspaty !,"I was drinking lots of tea from the local Jewel, Tetley's British blend. So when I saw this I thought it was an opportunity to try something better. Indeed its a lot better tea, does get strong nicely and I use skim milk. It tastes much better obviously than the Tetley in a box, its full bodied, but it did not have a refreshing taste.<br />The reason I say that is I was drinking some other Assam team from a store in Cleveland(Teavana) and that was very refreshing, full bodied. Likely it wasn't organic. Obviously the price at Teavana for a few oz. was a lot more per oz. than the Banaspaty tea, so it has that going for it.<br />The Twinings are pretty good, likely they have their own tea-estate, but my guess is the tea-estates vary in flavor.<br />But, hey, remember where I came from, Tetley's bags to Assam Banaspaty. Big leap for me.",Positive,,,After Effect,0.219720995,0.112196957,0.298241452,0.222861263,0.141036604,0.23384573,0.127659728,0.298241452,3,Flavor/Taste,Train,,,
26,26,1200,B008L19ZQ0,XXX,XXX,2,2,5,1323993600,Delicious and easy,"I made these recently for a holiday party.  I have never seen anything go so fast!<br /><br />They were very easy to make-- just add a few ingredients, mix, and throw them in the oven.  I will definitely be buying and making these again.",Positive,Meal,,Cooking time,0.064502012,0.298869789,0.150301351,0.157578601,0.097823778,0.112924519,0.1308406,0.298869789,2,Cooking time,Train,,,
27,27,5043,B0026RHUP8,XXX,XXX,0,0,5,1284249600,cheaper than anywhere else,"no gas for baby, no extra bubbles when you shake it in warm or cold water, mixes perfectly without much time... this is easy.  my kid was happy swapping from breast milk to this with no hesitation when my milk dried up at 6mths.",Positive,Baby food,,Cooking time,0.074511398,0.356445804,0.091010306,0.098980531,0.087045031,0.087354174,0.10679251,0.356445804,2,Cooking time,Train,,,
28,28,10083,B003EML8PM,XXX,XXX,0,0,5,1344124800,Pork rind magic!,These are magical. Put them in the microwave and they literally pop into a fresh hot crackly bag of pork rinds. They're a little on the salty side but no more so than most of the pork rinds you buy in the store. Each bag fills up a large cereal bowl. Good for a little snack when you need it and you don't want popcorn.,Positive,,,Cooking time,0.037010054,0.321636794,0.169528572,0.097891302,0.105017014,0.082823389,0.108802333,0.321636794,2,Cooking time,Train,,,
29,29,10209,B003EML8PM,XXX,XXX,0,0,5,1287878400,It's like popcorn for Low Carb dieters,"I'm on a low carb diet, and it's very difficult to resist temptation when my family has freshly popped popcorn.  Now I have found the solution.  Lowry's Microwavable Pork Rinds pop in the microwave exactly like popcorn, and only 1 carb per serving!  Plus, I love the way the curls keep making the popping sound in my mouth as I eat them... like Pop Rocks candy!  I got the regular which is salted just enough for my taste.  I also eat them with salsa as a snack (which replaces chips). Crumbled on a salad is a great replacement for croutons. Thank you Lowry's for coming up with a product that is such a life-saver to my diet!",Positive,,,Cooking time,0.087121834,0.296869366,0.189839523,0.149408523,0.121310579,0.122982179,0.155379221,0.296869366,2,Cooking time,Train,,,
30,30,10335,B003EML8PM,XXX,XXX,1,1,4,1223251200,Not Too Bad,I wouldn't have these every day but I found them to have plenty of flavour and kind of fun to cook.,Positive,,,Cooking time,0.036415111,0.44324357,0.06140878,0.053176685,0.071261763,0.0302231,0.062738637,0.44324357,2,Cooking time,Train,,,
31,31,10776,B003QBCUR6,XXX,XXX,0,0,5,1297123200,Better than a lot of brewed coffees,"I wanted to drink coffee again, but cannot take caffeine.  I am very pleased with the <a href=""http://www.amazon.com/gp/product/B003QBCUR6"">Starbucks VIAÂ® Ready Brew Decaf Italian Roast Coffee by Starbucks Coffee</a>.  Good taste, no noticeable caffeine, and lots easier to make than brewing.  And its fairly easy to make iced coffee as well.",Positive,,Coffee,Cooking time,0.190928647,0.326909321,0.198735102,0.10583432,0.106562479,0.103967868,0.076738082,0.326909321,2,Cooking time,Train,,,
32,32,13485,B002MXSAD2,XXX,XXX,0,0,4,1305158400,Beaba freezer tray: nice but gets a freezer burn,"We got 4 of them to store food for my son. They work nicely in general, but we have several complains:<br />1) food gets a freezer burn unless you put the train in a freezer bag<br />2) the food that gets takes a while to blend (like broccoli) and gets a bit of air blended in is harder to get out of the tray.<br />Other than that we love the trays.Wish they came also in 1oz portions (we try to give a great variety of veggies to my son at every meal, so having option of a smaller portion that takes less space in the freezer) would be great!",Positive,,,Cooking time,0.14518233,0.293702575,0.179108383,0.120483121,0.120966083,0.125479695,0.17155109,0.293702575,2,Cooking time,Train,,,
33,33,15375,B0000CDBRP,XXX,XXX,0,0,5,1273795200,Move Over Old Bay- This is for Real Cooks~,I love this seasoning. It truly is magic. I eat fish all the time and this brings out the flavor. I feel like a television cook when I use this stuff. I no longer worry about running out of Old Bay as long as I have this in the house..,Positive,,,Cooking time,0.089737652,0.299734292,0.140844334,0.101898584,0.046547078,0.078800595,0.109709617,0.299734292,2,Cooking time,Train,,,
34,34,19281,B001H0FHXW,XXX,XXX,0,0,5,1240272000,"Authentic, deep, rich flavor","The Caffe Lungo capsules produce one of the best Americanos I've ever had. The flavor is as deep and rich as my former $400 espresso machine made. In fact, I'm pretty sure it's better. I was quite surprised at the quality and could drink this everyday. The amount of crema also exceeded what the Senseo produces by a significant amount.<br /><br />I also felt very satisfied after one cup of this although I normally drink a couple of cups of coffee in the morning. For around 50 cents a cup, I would much rather have this than Starbucks any day.<br /><br />Although Nescafe does not have nearly enough varieties of coffee for their Dolce Gusto, this one is a winner.",Positive,,,Cooking time,0.209379181,0.242244415,0.240168386,0.132356955,0.10759815,0.14995433,0.15028039,0.242244415,2,Cooking time,Train,,,
35,35,19722,B0030VBRIU,XXX,XXX,0,1,5,1283299200,Easy and tasty,"These pouches are the next best to homemade.  When I don't have time to steam and blend my own baby food, I always reach for happy baby!",Positive,Baby food,,Cooking time,0.09382995,0.432262423,0.096960015,0.06343947,0.087838813,0.043664852,0.160563629,0.432262423,2,Cooking time,Train,,,
36,36,19911,B00390T5JA,XXX,XXX,0,0,5,1330214400,Great coffee maker,"We purchase 2 of these coffee makers. They were gifts to our Mom and Dad. They work great,no problem. The prices was great.",Positive,,,Cooking time,0.15652116,0.372773867,0.111914598,0.062081453,0.108890135,0.190129739,0.094498667,0.372773867,2,Cooking time,Train,,,
37,37,3,B000LQOCH0,XXX,XXX,1,1,4,1219017600,"""Delight"" says it all","This is a confection that has been around a few centuries.  It is a light, pillowy citrus gelatin with nuts - in this case Filberts. And it is cut into tiny squares and then liberally coated with powdered sugar.  And it is a tiny mouthful of heaven.  Not too chewy, and very flavorful.  I highly recommend this yummy treat.  If you are familiar with the story of C.S. Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch.",Positive,Dessert Flavor,Sweet,Flavor/Taste,0.056401936,0.010041991,0.126039064,0.128339313,0.047088047,0.064103636,0.094175444,0.128339313,4,Nutrition,Train,,,
38,38,129,B003OB0IB8,XXX,XXX,4,4,5,1314489600,My favorite ramen,"I've been eating Ramen noodles since I was a little kid, and I've never found a better flavor than Hot & Spicy Chicken!  It isn't hot at all to a chilihead like me, but it sure is good!",Positive,Noodles,Spice,Flavor/Taste,0.077668131,0.096699285,0.253313011,0.14437459,0.144543765,0.106214794,0.063117164,0.253313011,3,Flavor/Taste,Train,,,
39,39,192,B004V6AH34,XXX,XXX,0,0,5,1338249600,great taste and has health benefits!,"Like the other people mentioned, this coffee has a great taste. I've tried different instant coffees before, but this one is one of the better ones. Another one of my favorites, if you want to try it out (though NOT organic), is 'Africafe pure instant coffee'",Positive,Beverage Taste,Coffee,Flavor/Taste,0.235709747,0.102184331,0.235054249,0.146465481,0.129500633,0.092444424,0.104423702,0.235709747,1,After Effect,Train,,,
40,40,570,B000G6RYNE,XXX,XXX,2,2,5,1323388800,My favorite flavor,I am glad I was able to find these on this site. I love this flavor and they are so crunchy. The box is packed inside another box but still some bags end up as crumbs. Most of the bags survived in tact.,Positive,Snacks Flavor,Cruncy,Flavor/Taste,0.050353389,0.032111732,0.186265361,0.097380445,0.141340167,0.125447392,0.106942915,0.186265361,3,Flavor/Taste,Train,,,
41,41,696,B000G6MBX2,XXX,XXX,0,0,5,1250035200,Plocky's Three Grain Tortilla Chips,"We love these. Can't always get them in local stores, they don't keep them stocked even though we are always buying them out. Strong enough to dip in any condiment, great flavor and grain texture.",Positive,Snacks Flavor,Nutty,Flavor/Taste,0.121802364,0.092288395,0.191194022,0.167863147,0.106994727,0.135088516,0.132385423,0.191194022,3,Flavor/Taste,Train,,,
42,42,759,B0035YE9CS,XXX,XXX,0,1,5,1321228800,Outstanding Product!,"Saw this on How it is made, which was a very interesting process.<br />Decided to give it a try, I really enjoy the flavor it adds.<br />Looking forward to trying it on several more dishes.<br />Thanks to those who brewed it!",Positive,Beverage Taste,Coffee,Flavor/Taste,0.089368814,0.084544547,0.232770517,0.127789177,0.156562518,0.117586477,0.127451477,0.232770517,3,Flavor/Taste,Train,,,
43,43,1011,B0002MKFEM,XXX,XXX,1,2,5,1226361600,Way too salty,"I tried this and I found it too salty.<br />Plus I ate this fish sauce with some fish but I realized it was kind of redundant.<br /><br />I'm kidding, of course. This stuff is great!",Negative,Non-veg,Salt and pepper,Flavor/Taste,0.047597385,0.177016139,0.172175043,0.083500725,0.057917064,0.08093695,0.067557653,0.177016139,2,Cooking time,Train,,,
44,44,1074,B001GE3T1G,XXX,XXX,1,1,5,1317600000,The BEST mint,"Love these mints.  They melt in your mouth and taste better than any others I have tried.  Just wish they weren't so expensive.  You can't eat just one, a couple.  They are addictively delicious.",Positive,,Mint,Flavor/Taste,0.101879995,0.046321036,0.185884866,0.109992236,0.063852109,0.088809544,0.13309638,0.185884866,3,Flavor/Taste,Train,,,
45,45,1326,B004EKO2HE,XXX,XXX,0,0,1,1335484800,Poor quality product,"This product, described as organic raw cacao powder from Peru, is clearly inferior to all other raw cacao powder I have had.  The taste of this product is definitely not as good -- this product has a bitter, muddy, thin taste as compared to the fuller, richer taste of the real thing from other vendors.  As soon as I tasted this product, which is destined for the trash bag, I understood why it was cheaper than organic cacao from other vendors -- it is nowhere near as good.  Spend a few dollars more and get the real thing.",Negative,Desserts/Mixes,Sweet,Flavor/Taste,0.050930263,0.033151088,0.163477754,0.16555904,0.065348183,0.093025638,0.104934264,0.16555904,4,Nutrition,Train,,,
46,46,1389,B00068PCTU,XXX,XXX,0,0,5,1347062400,Sweeter than sugar!!,If you need to cut down on sugar this is the way to go! I love Stevia in my iced tea and it's great on your cereal also. Great stuff!!,Positive,Sweetener,Sweet,Flavor/Taste,0.089960205,0.111490519,0.205951266,0.159609762,0.056465749,0.123436025,0.106551169,0.205951266,3,Flavor/Taste,Train,,,
47,47,1452,B003OB2EP6,XXX,XXX,0,0,5,1338249600,Good,"Im on a quest to try all the Ramen Flavors. Ramen is a good lunch for me, being easy to make, cheap and versital. The Chicken flavor is one I remember but I havent had it in a long time, its one of the only flavors sold in stores where I live. I made some recently. Its better than I remember, salty but good. This is one of the more americanized flavors. I recommend NOT adding 2 cups of water. I added a bit more than 1 1/4 cup. and it was perfect. 1 1/4- 1 1/3 or 1 1/2 seems to be the perfect amount. I like eating it as a soup so I dont pour out the water. You can add things to Ramen like meat, eggs, or vegetarian protein and frozen veggies to make it a more filling meal or eat it plain. Or dont use the seasoning packet and add your own seasonings. Whatever you like. This is a great product, I recommend if you want easy, cheap lunches.",Positive,Noodles,Chicken,Flavor/Taste,0.148021929,0.165520839,0.277085931,0.213897057,0.181994941,0.183924537,0.136019371,0.277085931,3,Flavor/Taste,Train,,,
48,48,1704,B001RVFDOO,XXX,XXX,45,46,5,1243555200,Awesome Chips!!!!!!!!!!!,"I picked up a 3 oz bag of the Salt and Vinegar chips last weekend at Wegman's and in a blink of an eye, the bag was GONE.  Very nice vinegar flavor.  Bad side was in a blink of an eye they were gone which is not good for portion control.  I ordered the variety pack in .8 oz size (single serving) to help with portion control.  Most of the flavors I like - but fair warning, the parmesan garlic is VERY garlic. Love the salt and pepper.  With 100 calories a pack, what a nice change from baked chips.  Try it - you will like it.",Positive,Snacks,Salt and pepper,Flavor/Taste,0.08582555,0.071563871,0.209704294,0.143918849,0.097291757,0.087966309,0.116259963,0.209704294,3,Flavor/Taste,Train,,,
49,49,1767,B001RVFDOO,XXX,XXX,0,0,5,1264032000,CHIP LOVER,"I love these chips. They are excellent! On the Weight Watchers plan they are only 2 points per bag which is GREAT for potatoe chips. LOVE the single serving bags for portion control. Also love Amazon.com for selling them. Can't find them in the stores. I will be ordering these forever. Great product.<a href=""http://www.amazon.com/gp/product/B001RVFDOO"">Popchips 6-Flavor Variety Pack of 24 [Amazon Frustration-Free Packaging</a>]",Positive,Snacks,Salt and pepper,Flavor/Taste,0.100588567,0.120489496,0.256168374,0.251794445,0.169956757,0.170290454,0.193885219,0.256168374,3,Flavor/Taste,Train,,,
50,50,1830,B001RVFDOO,XXX,XXX,1,4,3,1263600000,good chips but....,"The flavors are kind of funky salt and pepper? Tastes like someone just pored a jar of black pepper over the chips and the salt and vinegar, thee two varieties just make one go yummm EWWWWWW tossed out those verities but the others were very good. Less chip and more like a cracker with a chip flavor. Still a good item but I wouldn't suggest the variety pack unless you living dangerous and have lots of water to gag them down with.",Positive,Snacks,Salt and pepper,Flavor/Taste,0.075984888,0.118818904,0.247050178,0.192026224,0.123001769,0.154550548,0.173361284,0.247050178,3,Flavor/Taste,Train,,,
51,51,1956,B001HBTGI8,XXX,XXX,0,0,5,1289779200,Great Dirty Matinis,"The olive juice I purchased was not only inexpensive, but has a great flavor.  I have looked for a long time to buy olive juice for martinis, but I could not find anyone that carried it.  thanks Amazon.",Positive,Oil,Tangy,Flavor/Taste,0.060787331,0.067177742,0.201212616,0.109576811,0.118307522,0.087357359,0.106052055,0.201212616,3,Flavor/Taste,Train,,,
52,52,2019,B001E5E29A,XXX,XXX,1,1,5,1273708800,Great Belgian waffle batter!,"I purchased this mix to use with my new Presto FlipSide Belgian Waffle Maker and am very pleased with the results.  It took 3 cups of this mix to make 6 large Belgian Waffles and they cooked to perfection after only 4 minutes!  The flavor of this mix is slightly sweet but there is no aftertaste to it like you get with cheap commercial brands like Bisquick.  I'll be buying more, for sure!",Positive,Mixes,Sweet,Flavor/Taste,0.140550643,0.19324118,0.188604137,0.12928561,0.115170002,0.119381586,0.129762633,0.19324118,2,Cooking time,Train,,,
53,53,2145,B002BB7EWI,XXX,XXX,0,0,5,1321401600,Plum is the best!,"Plum products are such a wonderful and yummy idea for the toddler, heck even the adult from time to time. I keep a full stock of every flavor fruit pouch Plum makes for toddlers. They make a great snack to throw in the diaper bag or back pack, whether you are packing a for a trip to the store, school lunches or going to Disneyland! These pouches have saved the day many many times. I have even grabbed one or two to add to my lunch when no other fruit was available for me, and it was really good! I have and will always recommend Plum to every parent I know!",Positive,Baby food,Fruit,Flavor/Taste,0.130044257,0.18151425,0.193573436,0.215541167,0.140437835,0.114094208,0.121131491,0.215541167,4,Nutrition,Train,,,
